dataset,condition,seed,auc,final,budget,N
pareto_20210112,egbo,0,0.6929268061105955,1.0,36,72
pareto_20210112,egbo,1,0.7298234812258868,1.0,36,72
pareto_20210112,egbo,2,0.6116157476396433,1.0,36,72
pareto_20210112,llm_bo,0,0.7368064198299802,1.0,36,72
pareto_20210112,llm_bo,1,0.8138044398987743,1.0,36,72
pareto_20210112,llm_bo,2,0.3463613725018404,0.6356425741637254,36,72
pareto_20210112,random,0,0.5840232969099813,1.0,36,72
pareto_20210112,random,1,0.6255525362234795,1.0,36,72
pareto_20210112,random,2,0.45063706152001615,1.0,36,72
