dataset,condition,seed,auc,final,budget,N
pareto_20210112,egbo,1,0.7737030949452713,1.0,36,72
pareto_20210112,egbo,0,0.6929268061105955,1.0,36,72
pareto_20210112,egbo,3,0.9312557497410141,1.0,36,72
pareto_20210112,egbo,4,0.5793796351632287,0.8189965934075383,36,72
pareto_20210112,egbo,2,0.6116157476396433,1.0,36,72
pareto_20210112,egbo,5,0.6652255583676263,1.0,36,72
pareto_20210112,egbo,7,0.8848160139866152,1.0,36,72
pareto_20210112,egbo,8,0.7245414925849679,0.8189965934075383,36,72
pareto_20210112,egbo,6,0.5550613362248833,0.8189965934075383,36,72
pareto_20210112,egbo,9,0.2813888144240227,0.48458521257155046,36,72
pareto_20210112,egbo,11,1.0,1.0,36,72
pareto_20210112,egbo,10,0.6261868548832559,1.0,36,72
pareto_20210112,egbo,12,1.0,1.0,36,72
pareto_20210112,egbo,13,0.6639293832779143,1.0,36,72
pareto_20210112,egbo,14,0.47813397860885637,0.6356425741637254,36,72
pareto_20210112,egbo,15,0.6969710900810135,1.0,36,72
pareto_20210112,egbo,16,0.7310449789467034,1.0,36,72
pareto_20210112,egbo,17,0.6968488481324546,1.0,36,72
pareto_20210112,egbo,19,0.6716096544361463,1.0,36,72
pareto_20210112,egbo,18,0.7907094585367271,1.0,36,72
pareto_20210112,llm_bo,0,0.714866612970288,1.0,36,72
pareto_20210112,llm_bo,1,0.6631492924099547,1.0,36,72
pareto_20210112,llm_bo,2,0.42699675966372913,1.0,36,72
pareto_20210112,llm_bo,3,0.9312557497410141,1.0,36,72
pareto_20210112,llm_bo,4,0.5275221669473698,0.6356425741637254,36,72
pareto_20210112,llm_bo,5,0.7183873467074389,1.0,36,72
pareto_20210112,llm_bo,6,0.9108458419579712,1.0,36,72
pareto_20210112,llm_bo,7,0.9725752414253847,1.0,36,72
pareto_20210112,llm_bo,8,0.6356425741637254,0.6356425741637254,36,72
pareto_20210112,llm_bo,9,0.5559609764134277,1.0,36,72
pareto_20210112,llm_bo,10,0.7119174507368429,1.0,36,72
pareto_20210112,llm_bo,11,1.0,1.0,36,72
pareto_20210112,llm_bo,12,1.0,1.0,36,72
pareto_20210112,llm_bo,13,0.7537892462516133,1.0,36,72
pareto_20210112,llm_bo,14,0.5432792690300122,1.0,36,72
pareto_20210112,llm_bo,15,0.7507101728393354,1.0,36,72
pareto_20210112,llm_bo,16,0.6019828759763242,1.0,36,72
pareto_20210112,llm_bo,17,0.5585664101372815,1.0,36,72
pareto_20210112,llm_bo,18,0.7468298448173425,1.0,36,72
pareto_20210112,llm_bo,19,0.628548675531091,0.8189965934075383,36,72
pareto_20210112,llm_nopad,0,0.6929268061105955,1.0,36,72
pareto_20210112,llm_nopad,1,0.8395225155243485,1.0,36,72
pareto_20210112,llm_nopad,2,0.580321899479333,1.0,36,72
pareto_20210112,llm_nopad,3,0.9312557497410141,1.0,36,72
pareto_20210112,llm_nopad,4,0.5964171305261444,1.0,36,72
pareto_20210112,llm_nopad,5,0.7400422308215128,1.0,36,72
pareto_20210112,llm_nopad,6,0.9108458419579712,1.0,36,72
pareto_20210112,llm_nopad,7,0.9725752414253847,1.0,36,72
pareto_20210112,llm_nopad,8,0.6798071106287283,1.0,36,72
pareto_20210112,llm_nopad,9,0.4667001835561729,0.6356425741637254,36,72
pareto_20210112,llm_nopad,10,0.4729353164604972,0.8189965934075383,36,72
pareto_20210112,llm_nopad,11,1.0,1.0,36,72
pareto_20210112,llm_nopad,12,1.0,1.0,36,72
pareto_20210112,llm_nopad,13,0.7537892462516133,1.0,36,72
pareto_20210112,llm_nopad,14,0.6090681328810325,1.0,36,72
pareto_20210112,llm_nopad,15,0.6848907522602583,1.0,36,72
pareto_20210112,llm_nopad,16,0.5361566120269495,0.6356425741637254,36,72
pareto_20210112,llm_nopad,17,0.6227935280539841,0.8189965934075383,36,72
pareto_20210112,llm_nopad,18,0.7907094585367271,1.0,36,72
pareto_20210112,llm_nopad,19,0.7802943073842629,1.0,36,72
pareto_20210112,random,0,0.5735141252728432,0.8189965934075383,36,72
pareto_20210112,random,3,0.9312557497410141,1.0,36,72
pareto_20210112,random,4,0.585617466254493,0.6356425741637254,36,72
pareto_20210112,random,5,0.8506046850445109,1.0,36,72
pareto_20210112,random,2,0.47949801960221694,0.5614152461965477,36,72
pareto_20210112,random,6,0.706726680008358,1.0,36,72
pareto_20210112,random,7,0.8409364002672306,1.0,36,72
pareto_20210112,random,1,0.6016940867029504,0.6356425741637254,36,72
pareto_20210112,random,9,0.3395997573745734,0.5462879482906924,36,72
pareto_20210112,random,10,0.8532699384342874,1.0,36,72
pareto_20210112,random,12,1.0,1.0,36,72
pareto_20210112,random,13,0.5689023396472941,1.0,36,72
pareto_20210112,random,8,0.7467662221902787,0.8189965934075383,36,72
pareto_20210112,random,14,0.3819486688787143,0.8189965934075383,36,72
pareto_20210112,random,11,1.0,1.0,36,72
pareto_20210112,random,15,0.6731807641809809,1.0,36,72
pareto_20210112,random,17,0.4672538899597512,0.6356425741637254,36,72
pareto_20210112,random,19,0.5793510883113715,1.0,36,72
pareto_20210112,random,16,0.7634239547846597,0.8189965934075383,36,72
pareto_20210112,random,18,0.467504863589981,0.5614152461965477,36,72
coatings,egbo,3,0.9596036464252936,1.0,45,91
coatings,egbo,0,0.8521276908703299,1.0,45,91
coatings,egbo,2,0.8956673568632795,1.0,45,91
coatings,egbo,1,0.9874825680394432,1.0,45,91
coatings,egbo,4,0.8751917472729693,1.0,45,91
coatings,egbo,6,0.9297763686494965,1.0,45,91
