dataset,condition,label,n_qualifying,mid_auc_mean,mid_auc_std,threshold
pareto_20210112,egbo,EGBO,60,0.6416024444844678,0.10819239581139155,0.8
pareto_20210112,novelty_egbo,Novelty-EGBO,60,0.6309367760891004,0.11784369212027218,0.8
pareto_20210112,approach_c,LLM-C,60,0.5806459844663414,0.13090904131580017,0.8
pareto_20210112,approach_c_evo,LLM-C+Evo,60,0.577462544655756,0.11146180405324607,0.8
pareto_20210112,fixed_random,Random,60,0.5717311955558884,0.10830579731584093,0.8
pareto_20210112,fixed_ucb_high,UCB β=400,60,0.5627023202860958,0.10534989568468593,0.8
