dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count
pareto_20210112,approach_c,0,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.7951358416474962,6.114679357715656,0.9999999999998365,16,0,0.0,0
pareto_20210112,approach_c,1,6.114679357715656,-1.6910003165941683,0.5462879482906924,0.6445788409605695,3.340375640781934,0.546287948290603,-1,0,0.0,0
pareto_20210112,approach_c,2,6.114679357715656,-1.6910003165941683,0.45221717849653986,0.6242222579801728,3.4328742170248834,0.5614152461964559,-1,0,0.0,0
pareto_20210112,approach_c,3,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,4,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7145759339927724,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,approach_c,5,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,approach_c,6,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,approach_c,7,6.114679357715656,-1.6910003165941683,0.3758852792804206,0.7126296970857872,6.114679357715656,0.9999999999998365,24,0,0.0,0
pareto_20210112,approach_c,8,6.114679357715656,-1.6910003165941683,0.45221717849653986,0.5898965644734115,3.4328742170248834,0.5614152461964559,-1,0,0.0,0
pareto_20210112,approach_c,9,6.114679357715656,-1.6910003165941683,0.19789332743827667,0.57690195620523,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,approach_c,10,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.7674847795126344,6.114679357715656,0.9999999999998365,25,0,0.0,0
pareto_20210112,approach_c,11,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,approach_c,12,6.114679357715656,-1.6910003165941683,0.5209711763481417,0.6476283424847463,3.4328742170248834,0.5614152461964559,-1,0,0.0,0
pareto_20210112,approach_c,13,6.114679357715656,-1.6910003165941683,0.24105698814021123,0.7687947641722003,6.114679357715656,0.9999999999998365,14,0,0.0,0
pareto_20210112,approach_c,14,6.114679357715656,-1.6910003165941683,0.3758852792804206,0.8529766789430516,6.114679357715656,0.9999999999998365,11,0,0.0,0
pareto_20210112,approach_c,15,6.114679357715656,-1.6910003165941683,0.1666576239333252,0.6619290639770326,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,16,6.114679357715656,-1.6910003165941683,0.3758852792804206,0.716236969240452,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,17,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,18,6.114679357715656,-1.6910003165941683,0.45221717849653986,0.5926247094060825,3.4328742170248834,0.5614152461964559,-1,0,0.0,0
pareto_20210112,approach_c,19,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,20,6.114679357715656,-1.6910003165941683,0.5462879482906924,0.7493982364143016,6.114679357715656,0.9999999999998365,35,0,0.0,0
pareto_20210112,approach_c,21,6.114679357715656,-1.6910003165941683,0.19789332743827667,0.591684223610473,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,approach_c,22,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.5914223531050169,3.185571697980825,0.5209711763480566,-1,0,0.0,0
pareto_20210112,approach_c,23,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7185657318899594,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,24,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7305351255815202,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,25,6.114679357715656,-1.6910003165941683,0.1666576239333252,0.4796609045496292,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,approach_c,26,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7145759339927724,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,approach_c,27,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.5390556437068664,2.5166953648105173,0.4115825569225435,-1,0,0.0,0
pareto_20210112,approach_c,28,6.114679357715656,-1.6910003165941683,0.5209711763481417,0.7933580928555356,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,29,6.114679357715656,-1.6910003165941683,0.5462879482906924,0.6445788409605695,3.340375640781934,0.546287948290603,-1,0,0.0,0
pareto_20210112,approach_c,30,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,approach_c,31,6.114679357715656,-1.6910003165941683,0.5209711763481417,0.6344273503139437,3.4328742170248834,0.5614152461964559,-1,0,0.0,0
pareto_20210112,approach_c,32,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,33,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7145759339927724,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,approach_c,34,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,35,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,approach_c,36,6.114679357715656,-1.6910003165941683,0.19584878968100458,0.6735377759366078,6.114679357715656,0.9999999999998365,20,0,0.0,0
pareto_20210112,approach_c,37,6.114679357715656,-1.6910003165941683,0.057067065648016786,0.5144593241641274,6.114679357715656,0.9999999999998365,33,0,0.0,0
pareto_20210112,approach_c,38,6.114679357715656,-1.6910003165941683,0.3758852792804206,0.5393285214386079,2.7651630465572086,0.4522171784964659,-1,0,0.0,0
pareto_20210112,approach_c,39,6.114679357715656,-1.6910003165941683,0.19789332743827667,0.5041744408226854,2.963083196365513,0.4845852125714712,-1,0,0.0,0
pareto_20210112,approach_c,40,6.114679357715656,-1.6910003165941683,0.5209711763481417,0.6247466227220217,3.185571697980825,0.5209711763480566,-1,0,0.0,0
pareto_20210112,approach_c,41,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,42,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,approach_c,43,6.114679357715656,-1.6910003165941683,0.3758852792804206,0.655463962979256,6.114679357715656,0.9999999999998365,30,0,0.0,0
pareto_20210112,approach_c,44,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7784127003477636,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_c,45,6.114679357715656,-1.6910003165941683,0.29067556891335994,0.5562766200758646,3.4328742170248834,0.5614152461964559,-1,0,0.0,0
pareto_20210112,approach_c,46,6.114679357715656,-1.6910003165941683,0.5209711763481417,0.6571849851253484,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,approach_c,47,6.114679357715656,-1.6910003165941683,0.3758852792804206,0.5110917230961162,2.2984179580851722,0.37588527928035914,-1,0,0.0,0
