dataset,budget_frac,condition,seed,auc,final,ls_mode_error,ard_match,evo_pop_error,chosen_ls,true_ls,n_fit_failed,n_batches
pareto_20210112,0.5,default,0,0.7937445809794357,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,1,0.7650225146826131,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,2,0.8132517598636483,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,3,0.6779404761894416,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,4,0.6685704592584063,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,5,0.6517131578915067,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,6,0.6048002698277475,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,7,0.9067558208463076,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,8,0.7681361835587343,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,9,0.46709036336520043,0.6356425741637254,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,10,0.7376336304061781,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,11,1.0,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,12,1.0,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,13,0.535734636397825,0.6356425741637254,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,14,0.3705461868018137,0.6356425741637254,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,15,0.6126508179941467,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,16,0.673946539184499,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,17,0.5389080835095037,0.6356425741637254,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,18,0.8345890722561118,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,default,19,0.7168613683157786,1.0,0.3876563999425907,True,0.0,1.0,0.6786454858358035,0,7
pareto_20210112,0.5,oracle,0,0.7937445809794357,1.0,0.0,True,0.0,0.6786454858358035,0.6786454858358035,0,7
