dataset,condition,seed,auc,final,budget,N
pareto_20210112,random,26,0.6459488687716677,1.0,36,72
pareto_20210112,random,27,0.4627926499521751,0.6356425741637254,36,72
pareto_20210112,random,28,0.7541366251710747,1.0,36,72
pareto_20210112,random,29,0.4282221917085858,0.5614152461965477,36,72
coatings,egbo,3,0.9596036464252936,1.0,45,91
coatings,egbo,0,0.8521276908703299,1.0,45,91
coatings,egbo,2,0.8956673568632795,1.0,45,91
coatings,egbo,1,0.9874825680394432,1.0,45,91
coatings,egbo,7,0.8472337407250226,1.0,45,91
coatings,egbo,4,0.8751917472729693,1.0,45,91
coatings,egbo,5,0.8488524378862708,0.9808737487582958,45,91
coatings,egbo,6,0.9297763686494965,1.0,45,91
coatings,egbo,8,0.7812543567921875,1.0,45,91
coatings,egbo,10,0.9491612349452607,1.0,45,91
coatings,egbo,9,0.9692409195626447,1.0,45,91
coatings,egbo,11,0.9153882474840175,1.0,45,91
coatings,egbo,12,0.7771749663223724,1.0,45,91
coatings,egbo,13,0.9123253422464731,1.0,45,91
coatings,egbo,14,0.7254706883741463,1.0,45,91
coatings,egbo,15,0.9145804013414279,1.0,45,91
coatings,egbo,16,0.8296811194502851,1.0,45,91
coatings,egbo,18,0.9588301483587129,1.0,45,91
coatings,egbo,17,0.9282296574868607,1.0,45,91
coatings,egbo,19,0.8934618644196304,1.0,45,91
coatings,egbo,20,0.8666803848382033,1.0,45,91
coatings,egbo,21,0.8796066863602152,0.9847760962641876,45,91
coatings,egbo,22,0.7703857497874742,1.0,45,91
coatings,egbo,23,0.8763216080949879,1.0,45,91
coatings,egbo,26,0.7739549628794516,0.9847760962641876,45,91
coatings,egbo,24,0.8329157195521412,1.0,45,91
coatings,egbo,27,0.8987114074533937,0.9847760962641876,45,91
coatings,egbo,25,0.9805116951100716,1.0,45,91
coatings,egbo,28,0.886534897878338,1.0,45,91
coatings,egbo,29,0.8750201452430407,1.0,45,91
coatings,llm_nopad,0,0.8611265645511069,1.0,45,91
coatings,llm_nopad,1,0.9956019833652098,1.0,45,91
coatings,llm_nopad,2,0.9016443881109696,1.0,45,91
coatings,llm_nopad,3,0.9205073084524851,0.9847760962641876,45,91
coatings,llm_nopad,4,0.7789525050825137,0.9133618720969294,45,91
coatings,llm_nopad,5,0.958367446050893,1.0,45,91
coatings,llm_nopad,6,0.8754616583707545,1.0,45,91
coatings,llm_nopad,7,0.8022700429924764,1.0,45,91
coatings,llm_nopad,8,0.8524290805306356,1.0,45,91
coatings,llm_nopad,9,0.9228610533923204,1.0,45,91
coatings,llm_nopad,10,0.9718464873183636,1.0,45,91
coatings,llm_nopad,11,0.9125879294234989,1.0,45,91
coatings,llm_nopad,12,0.8829351173850202,1.0,45,91
coatings,llm_nopad,13,0.9245670161153687,1.0,45,91
coatings,llm_nopad,14,0.6599687773830729,1.0,45,91
coatings,llm_nopad,15,0.9604466855640462,1.0,45,91
coatings,llm_nopad,16,0.9215303810684616,1.0,45,91
coatings,llm_nopad,17,0.9428822914496481,1.0,45,91
coatings,llm_nopad,18,0.9726089887201318,1.0,45,91
coatings,llm_nopad,19,0.8970191431047974,1.0,45,91
coatings,llm_nopad,20,0.8691511516177924,1.0,45,91
coatings,llm_nopad,21,0.8990796888244463,1.0,45,91
coatings,llm_nopad,22,0.8211458804305976,1.0,45,91
coatings,llm_nopad,23,0.8496338364356684,1.0,45,91
coatings,llm_nopad,24,0.7783202999410028,0.9847760962641876,45,91
coatings,llm_nopad,25,0.98319439077008,1.0,45,91
coatings,llm_nopad,26,0.9106678306398561,1.0,45,91
coatings,llm_nopad,27,0.8231425736605911,0.9847760962641876,45,91
coatings,llm_nopad,28,0.794365206543014,1.0,45,91
coatings,llm_nopad,29,0.935905783511194,1.0,45,91
coatings,random,0,0.8306486876225275,0.9431385817157716,45,91
coatings,random,2,0.7819783867847008,1.0,45,91
coatings,random,1,0.9847760962641873,0.9847760962641876,45,91
coatings,random,3,0.9449906561902764,0.9847760962641876,45,91
coatings,random,6,0.9185462793569191,1.0,45,91
coatings,random,4,0.9183083946102271,0.9847760962641876,45,91
coatings,random,5,0.9095240743530638,0.9431385817157716,45,91
coatings,random,8,0.8079907974759695,0.9431385817157716,45,91
coatings,random,9,0.8705044159778753,0.9734250387864615,45,91
coatings,random,7,0.8271819607799435,0.9133618720969294,45,91
coatings,random,10,0.9641453203936461,0.9847760962641876,45,91
coatings,random,11,0.8160391162025286,0.9133618720969294,45,91
coatings,random,12,0.7431455212894225,0.9847760962641876,45,91
coatings,random,13,0.9082656345835894,0.9847760962641876,45,91
coatings,random,14,0.9243322502832794,0.9847760962641876,45,91
coatings,random,15,0.9012381718621826,0.9847760962641876,45,91
coatings,random,16,0.8640188308395143,0.9431385817157716,45,91
coatings,random,17,0.9565369171256528,0.9847760962641876,45,91
coatings,random,18,0.9387535962452875,0.9847760962641876,45,91
coatings,random,19,0.8218928604905544,0.9133618720969294,45,91
coatings,random,20,0.8743406199964343,0.9734250387864615,45,91
coatings,random,21,0.8539265599807642,0.9734250387864615,45,91
coatings,random,22,0.7520932188081343,0.8999948828996351,45,91
coatings,random,23,0.7870079415299075,0.8999948828996351,45,91
coatings,random,24,0.8316808235248955,0.9734250387864615,45,91
coatings,random,25,0.9754430045602791,0.9847760962641876,45,91
coatings,random,26,0.8221208236794698,0.9808737487582958,45,91
coatings,random,28,0.8153430665709906,0.9431385817157716,45,91
coatings,random,27,0.8307710517925864,0.9133618720969294,45,91
coatings,random,29,0.8024489665737139,0.9431385817157716,45,91
hartmann6,egbo,0,0.7138637189741202,1.0,50,100
hartmann6,egbo,2,0.9351414743617981,1.0,50,100
hartmann6,egbo,3,0.9470638389069569,1.0,50,100
hartmann6,egbo,1,0.8134607493581286,1.0,50,100
hartmann6,egbo,7,0.9345120437093893,1.0,50,100
hartmann6,egbo,5,0.7592615786341691,1.0,50,100
hartmann6,egbo,4,0.6670941961221261,1.0,50,100
hartmann6,egbo,6,0.7517751365466903,1.0,50,100
hartmann6,egbo,9,0.8620179255507827,1.0,50,100
hartmann6,egbo,10,0.8575571109504929,1.0,50,100
hartmann6,egbo,8,0.6112750426967314,1.0,50,100
hartmann6,egbo,11,0.6423784742716265,1.0,50,100
hartmann6,egbo,14,0.8243188701159581,1.0,50,100
hartmann6,egbo,15,0.7764293577075021,1.0,50,100
hartmann6,egbo,12,0.7151086688209631,1.0,50,100
hartmann6,egbo,13,0.8456942948916839,1.0,50,100
hartmann6,egbo,16,0.9649566313964499,1.0,50,100
hartmann6,egbo,18,0.7703897224690256,1.0,50,100
hartmann6,egbo,17,0.9745245828457285,1.0,50,100
hartmann6,egbo,19,1.0,1.0,50,100
hartmann6,egbo,20,0.794395013939168,1.0,50,100
hartmann6,egbo,21,0.8151083999009048,1.0,50,100
hartmann6,egbo,23,0.8069666792887651,1.0,50,100
hartmann6,egbo,22,0.7457875942511231,1.0,50,100
hartmann6,egbo,24,0.8273729534989543,1.0,50,100
hartmann6,egbo,25,0.8358669471722182,1.0,50,100
hartmann6,egbo,26,1.0,1.0,50,100
hartmann6,egbo,27,0.7026774894508903,1.0,50,100
hartmann6,egbo,28,0.6348654545727949,0.6605046370631522,50,100
hartmann6,egbo,29,0.8759625787974542,1.0,50,100
hartmann6,llm_nopad,0,0.811519933067263,1.0,50,100
hartmann6,llm_nopad,1,0.8174126957120705,1.0,50,100
hartmann6,llm_nopad,2,0.9238190667376776,1.0,50,100
hartmann6,llm_nopad,3,0.7411767120516088,1.0,50,100
hartmann6,llm_nopad,4,0.7547895772516597,1.0,50,100
hartmann6,llm_nopad,5,0.7398339940962979,1.0,50,100
hartmann6,llm_nopad,6,0.726417524249013,1.0,50,100
hartmann6,llm_nopad,7,0.8698394470612466,1.0,50,100
hartmann6,llm_nopad,8,0.8458490611081573,1.0,50,100
hartmann6,llm_nopad,9,0.8159598648871114,0.8613005066045224,50,100
hartmann6,llm_nopad,10,0.9180540172378062,1.0,50,100
hartmann6,llm_nopad,11,0.6167244905541484,0.8119295856233414,50,100
hartmann6,llm_nopad,12,0.6463336886886851,1.0,50,100
hartmann6,llm_nopad,13,0.7297862554568608,1.0,50,100
hartmann6,llm_nopad,14,0.8578307914063398,1.0,50,100
hartmann6,llm_nopad,15,0.7795457957070232,0.8613005066045224,50,100
hartmann6,llm_nopad,16,0.7326670356549062,0.8119295856233414,50,100
hartmann6,llm_nopad,17,0.9858469904698491,1.0,50,100
hartmann6,llm_nopad,18,0.5991535012813164,0.8119295856233414,50,100
hartmann6,llm_nopad,19,1.0,1.0,50,100
hartmann6,llm_nopad,20,0.9214418005624714,1.0,50,100
hartmann6,llm_nopad,21,0.7168887964544964,1.0,50,100
hartmann6,llm_nopad,22,0.8510534575751876,1.0,50,100
hartmann6,llm_nopad,23,0.7872978978352269,1.0,50,100
hartmann6,llm_nopad,24,0.6741238130118532,1.0,50,100
hartmann6,llm_nopad,25,0.7553103389968004,0.8119295856233414,50,100
hartmann6,llm_nopad,26,1.0,1.0,50,100
hartmann6,llm_nopad,27,0.7911169575997118,1.0,50,100
