dataset,condition,label,n_qualifying,mid_auc_mean,mid_auc_std,threshold
pareto_20210112,egbo_batch1,egbo_batch1,14,0.5272184215285028,0.09218632248254365,0.8
pareto_20210112,egbo_botorch,egbo_botorch,14,0.5219927910285446,0.07291147444345412,0.8
pareto_20210112,novelty_w09,novelty_w09,14,0.5204370243927187,0.08104102356770516,0.8
pareto_20210112,novelty_w07,novelty_w07,14,0.51684098266345,0.13127166724701267,0.8
pareto_20210112,egbo_sklearn,egbo_sklearn,14,0.5110900783105538,0.12454218840767234,0.8
pareto_20210112,egbo_llm_scorer,egbo_llm_scorer,14,0.4973369432625678,0.13032125770369052,0.8
pareto_20210112,novelty_w03,novelty_w03,14,0.49418777783769385,0.10990301441056044,0.8
