dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count,regime,ea_ratio,pool_size,acq
hartmann6,ea20_p40_ucb2,0,1.7914431443280272,0.0001950575971415,0.6051133527708046,0.7637664494377868,1.7914431443280272,0.9999999999994418,37,0,0.0,0,multimodal,0.2,40.0,ucb2
hartmann6,ea20_p40_ucb2,1,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.93236225575713,1.7914431443280272,0.9999999999994418,17,0,0.0,0,multimodal,0.2,40.0,ucb2
hartmann6,ea20_p40_ucb2,2,1.7914431443280272,0.0001950575971415,0.4753460434620039,0.9475288911375805,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,0.2,40.0,ucb2
hartmann6,ea20_p40_ucb2,3,1.7914431443280272,0.0001950575971415,0.48122562128817803,0.8787444682499509,1.7914431443280272,0.9999999999994418,17,0,0.0,0,multimodal,0.2,40.0,ucb2
hartmann6,ea20_p40_ucb2,4,1.7914431443280272,0.0001950575971415,0.10777015419263257,0.7709046511163151,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,0.2,40.0,ucb2
hartmann6,ea20_p40_ucb2,5,1.7914431443280272,0.0001950575971415,0.07995088424058891,0.797841111132918,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,0.2,40.0,ucb2
hartmann6,ea20_p40_ucb2,6,1.7914431443280272,0.0001950575971415,0.12824218389169903,0.8198203692392922,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,0.2,40.0,ucb2
hartmann6,ea20_p40_ucb2,7,1.7914431443280272,0.0001950575971415,0.3582180283520165,0.8534313924704341,1.7914431443280272,0.9999999999994418,29,0,0.0,0,multimodal,0.2,40.0,ucb2
hartmann6,ea20_p40_ucb2,8,1.7914431443280272,0.0001950575971415,0.08921943774938301,0.8274242661167451,1.7914431443280272,0.9999999999994418,17,0,0.0,0,multimodal,0.2,40.0,ucb2
hartmann6,ea20_p40_ucb2,9,1.7914431443280272,0.0001950575971415,0.8119295856233414,0.8758600097842475,1.7914431443280272,0.9999999999994418,33,0,0.0,0,multimodal,0.2,40.0,ucb2
