dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count,regime,ea_ratio,pool_size,acq
hartmann6,ea0_p20_ucb_2,0,1.7914431443280272,0.0001950575971415,0.6051133527708046,0.8745874901460116,1.7914431443280272,0.9999999999994418,17,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,1,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.9545565912849193,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,2,1.7914431443280272,0.0001950575971415,0.4753460434620039,0.9475288911375805,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,3,1.7914431443280272,0.0001950575971415,0.48122562128817803,0.836534610131404,1.7914431443280272,0.9999999999994418,25,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,4,1.7914431443280272,0.0001950575971415,0.10777015419263257,0.6964591806456917,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,5,1.7914431443280272,0.0001950575971415,0.07995088424058891,0.6801385919238093,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,6,1.7914431443280272,0.0001950575971415,0.12824218389169903,0.8663175473197015,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,7,1.7914431443280272,0.0001950575971415,0.3582180283520165,0.8895550193943248,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,8,1.7914431443280272,0.0001950575971415,0.08921943774938301,0.8101259691576711,1.7914431443280272,0.9999999999994418,25,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,9,1.7914431443280272,0.0001950575971415,0.8119295856233414,0.9059545528668542,1.7914431443280272,0.9999999999994418,25,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,10,1.7914431443280272,0.0001950575971415,0.41884855836326584,0.87318701379129,1.7914431443280272,0.9999999999994418,17,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,11,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.8756382164094929,1.7914431443280272,0.9999999999994418,17,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,12,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.6760099368436185,1.5429708877629285,0.8613005066040417,-1,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,13,1.7914431443280272,0.0001950575971415,0.30705316798911725,0.670282112524731,1.5429708877629285,0.8613005066040417,-1,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,14,1.7914431443280272,0.0001950575971415,0.5277412980450483,0.7219141143292365,1.7914431443280272,0.9999999999994418,41,0,0.0,0,multimodal,0.0,20.0,ucb_2
hartmann6,ea0_p20_ucb_2,15,1.7914431443280272,0.0001950575971415,0.6605046370631522,0.67561181157938,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,0.0,20.0,ucb_2
