dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count,regime,batch_size,refit
hartmann6,batch1_joint,0,1.7914431443280272,0.0001950575971415,0.6051133527708046,0.8680739286522726,1.7914431443280272,0.9999999999994418,18,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,1,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.9587845108585766,1.7914431443280272,0.9999999999994418,6,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,2,1.7914431443280272,0.0001950575971415,0.4753460434620039,0.9475288911375805,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,3,1.7914431443280272,0.0001950575971415,0.48122562128817803,0.8373610542491913,1.7914431443280272,0.9999999999994418,23,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,4,1.7914431443280272,0.0001950575971415,0.10777015419263257,0.635738113018699,1.7914431443280272,0.9999999999994418,32,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,5,1.7914431443280272,0.0001950575971415,0.07995088424058891,0.7980659945324559,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,6,1.7914431443280272,0.0001950575971415,0.12824218389169903,0.592198841682052,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,7,1.7914431443280272,0.0001950575971415,0.3582180283520165,0.8434112805550575,1.7914431443280272,0.9999999999994418,29,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,8,1.7914431443280272,0.0001950575971415,0.08921943774938301,0.6673513362839192,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,9,1.7914431443280272,0.0001950575971415,0.8119295856233414,0.8119091057337084,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,10,1.7914431443280272,0.0001950575971415,0.41884855836326584,0.8935938394983287,1.7914431443280272,0.9999999999994418,11,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,11,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.9033811358192294,1.7914431443280272,0.9999999999994418,7,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,12,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.6314161248373389,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,13,1.7914431443280272,0.0001950575971415,0.30705316798911725,0.7644442029417873,1.7914431443280272,0.9999999999994418,20,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,14,1.7914431443280272,0.0001950575971415,0.5277412980450483,0.8175630815929763,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,15,1.7914431443280272,0.0001950575971415,0.6605046370631522,0.6846982978563352,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,16,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.8699558936610506,1.7914431443280272,0.9999999999994418,19,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,17,1.7914431443280272,0.0001950575971415,0.8613005066045224,0.9750313725312371,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,18,1.7914431443280272,0.0001950575971415,0.12304381533818813,0.8285265841805479,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,1.0,False
hartmann6,batch1_joint,19,1.7914431443280272,0.0001950575971415,1.0,1.0,1.7914431443280272,0.9999999999994418,0,0,0.0,0,multimodal,1.0,False
hartmann6,batch2_joint,0,1.7914431443280272,0.0001950575971415,0.6051133527708046,0.9289126633004986,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,1,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.9519152626683394,1.7914431443280272,0.9999999999994418,7,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,2,1.7914431443280272,0.0001950575971415,0.4753460434620039,0.9475288911375805,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,3,1.7914431443280272,0.0001950575971415,0.48122562128817803,0.8350686318787226,1.7914431443280272,0.9999999999994418,27,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,4,1.7914431443280272,0.0001950575971415,0.10777015419263257,0.6992587153865759,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,5,1.7914431443280272,0.0001950575971415,0.07995088424058891,0.6973056132900689,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,6,1.7914431443280272,0.0001950575971415,0.12824218389169903,0.8596963896231593,1.7914431443280272,0.9999999999994418,11,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,7,1.7914431443280272,0.0001950575971415,0.3582180283520165,0.7603181487139514,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,8,1.7914431443280272,0.0001950575971415,0.08921943774938301,0.5420876627679816,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,9,1.7914431443280272,0.0001950575971415,0.8119295856233414,0.8231945593896859,1.7914431443280272,0.9999999999994418,47,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,10,1.7914431443280272,0.0001950575971415,0.41884855836326584,0.9050486450706621,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,11,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.9033811358192294,1.7914431443280272,0.9999999999994418,7,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,12,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.6481104346937869,1.7914431443280272,0.9999999999994418,41,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,13,1.7914431443280272,0.0001950575971415,0.30705316798911725,0.7437798614085454,1.7914431443280272,0.9999999999994418,23,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,14,1.7914431443280272,0.0001950575971415,0.5277412980450483,0.7490495878236199,1.7914431443280272,0.9999999999994418,35,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,15,1.7914431443280272,0.0001950575971415,0.6605046370631522,0.7974010788115016,1.7914431443280272,0.9999999999994418,45,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,16,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.7925882039190506,1.7914431443280272,0.9999999999994418,33,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,17,1.7914431443280272,0.0001950575971415,0.8613005066045224,0.9639342047673425,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,18,1.7914431443280272,0.0001950575971415,0.12304381533818813,0.7586682660478047,1.7914431443280272,0.9999999999994418,23,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_joint,19,1.7914431443280272,0.0001950575971415,1.0,1.0,1.7914431443280272,0.9999999999994418,0,0,0.0,0,multimodal,2.0,False
hartmann6,batch2_refit,0,1.7914431443280272,0.0001950575971415,0.6051133527708046,0.9311285559450994,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,2.0,True
hartmann6,batch2_refit,1,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.9519152626683394,1.7914431443280272,0.9999999999994418,7,0,0.0,0,multimodal,2.0,True
hartmann6,batch2_refit,2,1.7914431443280272,0.0001950575971415,0.4753460434620039,0.9475288911375805,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,2.0,True
hartmann6,batch2_refit,3,1.7914431443280272,0.0001950575971415,0.48122562128817803,0.8275449961080708,1.7914431443280272,0.9999999999994418,29,0,0.0,0,multimodal,2.0,True
