dataset,condition,seed,global_best,global_min,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count
coatings,egbo,0,4081245.0762726846,0.0,0.9552307574714808,4081245.0762726846,1.0,13,0,0.0,0
coatings,egbo,1,4081245.0762726846,0.0,0.9965322895505776,4081245.0762726846,1.0,0,0,0.0,0
coatings,egbo,2,4081245.0762726846,0.0,0.9674394934216991,4081245.0762726846,1.0,5,0,0.0,0
coatings,egbo,3,4081245.0762726846,0.0,0.9535188496401978,4081245.0762726846,1.0,5,0,0.0,0
coatings,egbo,4,4081245.0762726846,0.0,0.996033341969139,4081245.0762726846,1.0,0,0,0.0,0
coatings,egbo,5,4081245.0762726846,0.0,0.9905385750815223,4081245.0762726846,1.0,0,0,0.0,0
coatings,egbo,6,4081245.0762726846,0.0,0.9704569546304147,4081245.0762726846,1.0,13,0,0.0,0
coatings,egbo,7,4081245.0762726846,0.0,0.9826416491547746,4081245.0762726846,1.0,5,0,0.0,0
coatings,egbo,8,4081245.0762726846,0.0,0.9690260895601562,4081245.0762726846,1.0,9,0,0.0,0
coatings,egbo,9,4081245.0762726846,0.0,0.9543511748970314,4081245.0762726846,1.0,5,0,0.0,0
coatings,egbo,10,4081245.0762726846,0.0,0.9553556087458873,4081245.0762726846,1.0,21,0,0.0,0
coatings,egbo,11,4081245.0762726846,0.0,0.9406373838082893,4081245.0762726846,1.0,13,0,0.0,0
coatings,egbo,12,4081245.0762726846,0.0,0.9750699620081688,4081245.0762726846,1.0,5,0,0.0,0
coatings,egbo,13,4081245.0762726846,0.0,0.9861792965547967,4081245.0762726846,1.0,5,0,0.0,0
coatings,egbo,14,4081245.0762726846,0.0,0.9978251566091697,4081245.0762726846,1.0,0,0,0.0,0
coatings,egbo,15,4081245.0762726846,0.0,0.9740040342937074,4081245.0762726846,1.0,9,0,0.0,0
coatings,egbo,16,4081245.0762726846,0.0,0.9835202573641285,4081245.0762726846,1.0,5,0,0.0,0
coatings,egbo,17,4081245.0762726846,0.0,0.9811793319433516,4081245.0762726846,1.0,5,0,0.0,0
coatings,egbo,18,4081245.0762726846,0.0,0.990345411263299,4081245.0762726846,1.0,5,0,0.0,0
coatings,egbo,19,4081245.0762726846,0.0,0.9480453212277754,4081245.0762726846,1.0,17,0,0.0,0
coatings,novelty_egbo,0,4081245.0762726846,0.0,0.9511121820591237,4081245.0762726846,1.0,17,0,0.0,0
coatings,novelty_egbo,1,4081245.0762726846,0.0,0.9933566116419632,4081245.0762726846,1.0,0,0,0.0,0
coatings,novelty_egbo,2,4081245.0762726846,0.0,0.9153979260331837,4081245.0762726846,1.0,21,0,0.0,0
coatings,novelty_egbo,3,4081245.0762726846,0.0,0.8985287393907314,4081245.0762726846,1.0,21,0,0.0,0
coatings,novelty_egbo,4,4081245.0762726846,0.0,0.9906916387344152,4081245.0762726846,1.0,0,0,0.0,0
coatings,novelty_egbo,5,4081245.0762726846,0.0,0.9870412769171407,4081245.0762726846,1.0,0,0,0.0,0
coatings,novelty_egbo,6,4081245.0762726846,0.0,0.9634899160604095,4081245.0762726846,1.0,13,0,0.0,0
