dataset,condition,seed,auc,final,budget,N
pareto_20201218,egbo,1,0.4753733252708722,0.6052342266545373,32,65
pareto_20201218,egbo,0,0.39832550833358316,0.39832550833358316,32,65
pareto_20201218,egbo,2,1.0,1.0,32,65
pareto_20201218,egbo,3,0.47727118411687425,0.6091588655870268,32,65
pareto_20201218,egbo,4,0.9319369356300926,1.0,32,65
pareto_20201218,egbo,5,0.4906278373442187,0.6091588655870268,32,65
pareto_20201218,egbo,6,0.5146473606113452,0.6091588655870268,32,65
pareto_20201218,egbo,7,0.6091588655870268,0.6091588655870268,32,65
pareto_20201218,egbo,8,0.5354321102557553,0.6091588655870268,32,65
pareto_20201218,egbo,10,0.6340804707231639,1.0,32,65
pareto_20201218,egbo,9,0.3320644901104497,0.37159487618626297,32,65
pareto_20201218,egbo,12,0.606858215178326,0.6091588655870268,32,65
pareto_20201218,egbo,13,0.6606244996064026,1.0,32,65
pareto_20201218,egbo,11,0.5354321102557553,0.6091588655870268,32,65
pareto_20201218,egbo,14,0.6426855338253211,1.0,32,65
pareto_20201218,egbo,15,0.6521238395085265,1.0,32,65
pareto_20201218,egbo,16,0.5810972645002908,0.6091588655870268,32,65
pareto_20201218,egbo,19,0.6357768005261697,1.0,32,65
pareto_20201218,egbo,18,0.46195842873261567,1.0,32,65
pareto_20201218,egbo,17,0.3955299520356525,0.6091588655870268,32,65
pareto_20201218,llm_nopad,0,0.896263018678204,1.0,32,65
pareto_20201218,llm_nopad,1,0.667493643728951,1.0,32,65
pareto_20201218,llm_nopad,2,1.0,1.0,32,65
pareto_20201218,llm_nopad,3,0.47358420037241633,0.6091588655870268,32,65
pareto_20201218,llm_nopad,4,0.9319369356300926,1.0,32,65
pareto_20201218,llm_nopad,5,0.6375336346037733,1.0,32,65
pareto_20201218,llm_nopad,6,0.704913860136845,1.0,32,65
pareto_20201218,llm_nopad,7,0.6091588655870268,0.6091588655870268,32,65
pareto_20201218,llm_nopad,8,0.8916542889976317,1.0,32,65
pareto_20201218,llm_nopad,9,0.8521239029218183,1.0,32,65
pareto_20201218,llm_nopad,10,0.4697352478806669,0.6052342266545373,32,65
pareto_20201218,llm_nopad,11,0.5102755497783686,0.6091588655870268,32,65
pareto_20201218,llm_nopad,12,0.6057755561624669,0.6091588655870268,32,65
pareto_20201218,llm_nopad,13,0.5855737024443084,1.0,32,65
pareto_20201218,llm_nopad,14,0.8049777201957369,1.0,32,65
pareto_20201218,llm_nopad,15,0.5326229911373189,1.0,32,65
pareto_20201218,llm_nopad,16,0.5635199492022679,0.6091588655870268,32,65
pareto_20201218,llm_nopad,17,0.3367210906070744,0.6091588655870268,32,65
pareto_20201218,llm_nopad,18,0.4075079772366899,0.6052342266545373,32,65
pareto_20201218,llm_nopad,19,0.8546504949475376,1.0,32,65
pareto_20201218,random,0,0.5643046784484568,1.0,32,65
pareto_20201218,random,2,1.0,1.0,32,65
pareto_20201218,random,1,0.3048492804445945,0.39918433915611845,32,65
pareto_20201218,random,3,0.5549497969060644,1.0,32,65
pareto_20201218,random,4,0.9319369356300926,1.0,32,65
pareto_20201218,random,5,0.34090114794652104,0.6052342266545373,32,65
pareto_20201218,random,7,0.7708862315510158,1.0,32,65
pareto_20201218,random,6,0.4554037754566052,0.6052342266545373,32,65
pareto_20201218,random,8,0.6643920294058457,1.0,32,65
pareto_20201218,random,12,0.8230360326382409,1.0,32,65
pareto_20201218,random,11,0.5063516471863148,0.6091588655870268,32,65
pareto_20201218,random,13,0.719454867245826,1.0,32,65
pareto_20201218,random,9,0.6580137854800683,1.0,32,65
pareto_20201218,random,10,0.8566597252001645,1.0,32,65
pareto_20201218,random,14,0.4408167535585179,0.6091588655870268,32,65
pareto_20201218,random,15,0.649971022575653,1.0,32,65
pareto_20201218,random,16,0.7994403999919238,1.0,32,65
pareto_20201218,random,18,0.7219881351383001,1.0,32,65
pareto_20201218,random,19,0.8546504949475376,1.0,32,65
pareto_20201218,random,17,0.5491012007943532,1.0,32,65
hartmann3,egbo,0,0.9423422856008077,1.0,50,100
hartmann3,egbo,1,0.9224853096323973,1.0,50,100
hartmann3,egbo,2,0.9055099220260724,1.0,50,100
hartmann3,egbo,3,0.930889203191993,1.0,50,100
hartmann3,egbo,6,0.8625126694855421,1.0,50,100
hartmann3,egbo,4,0.8520724079372678,1.0,50,100
