dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count
pareto_20201218,fixed_random,0,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.555821675994369,2.1685893784688846,0.39832550833351,-1,0,0.0,0
pareto_20201218,fixed_random,1,5.44426438452636,-1.9304201262287157,1.0,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,fixed_random,2,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.7085693310784551,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,fixed_random,3,5.44426438452636,-1.9304201262287157,0.6091588655870268,0.792616650690479,5.44426438452636,0.9999999999998163,23,0,0.0,0
pareto_20201218,fixed_random,4,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.7245523310046841,5.44426438452636,0.9999999999998163,19,0,0.0,0
pareto_20201218,fixed_random,5,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.5360881364289416,2.0230607498933537,0.3715948761861947,-1,0,0.0,0
pareto_20201218,fixed_random,6,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.7085693310784551,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,fixed_random,7,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.8369942079114772,5.44426438452636,0.9999999999998163,12,0,0.0,0
pareto_20201218,fixed_random,8,5.44426438452636,-1.9304201262287157,0.46210013501391495,0.6029024600151415,2.5157953071410795,0.46210013501383007,-1,0,0.0,0
pareto_20201218,fixed_random,9,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6292579688092466,3.31642191643393,0.6091588655869149,-1,0,0.0,0
pareto_20201218,fixed_random,10,5.44426438452636,-1.9304201262287157,0.15697287069571897,0.5935803833188785,5.44426438452636,0.9999999999998163,31,0,0.0,0
pareto_20201218,fixed_random,11,5.44426438452636,-1.9304201262287157,1.0,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,fixed_random,12,5.44426438452636,-1.9304201262287157,0.6091588655870268,0.7114666444389273,3.31642191643393,0.6091588655869149,-1,0,0.0,0
pareto_20201218,fixed_random,13,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.7097463646311469,3.31642191643393,0.6091588655869149,-1,0,0.0,0
pareto_20201218,fixed_random,14,5.44426438452636,-1.9304201262287157,1.0,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,fixed_random,15,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.5736711934461789,2.5157953071410795,0.46210013501383007,-1,0,0.0,0
pareto_20201218,fixed_random,16,5.44426438452636,-1.9304201262287157,0.39918433915611845,0.8198101267503394,5.44426438452636,0.9999999999998163,13,0,0.0,0
pareto_20201218,fixed_random,17,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.555821675994369,2.1685893784688846,0.39832550833351,-1,0,0.0,0
pareto_20201218,fixed_random,18,5.44426438452636,-1.9304201262287157,0.39918433915611845,0.6950632914236512,5.44426438452636,0.9999999999998163,22,0,0.0,0
pareto_20201218,fixed_random,19,5.44426438452636,-1.9304201262287157,0.3339823310835666,0.8309854011396665,5.44426438452636,0.9999999999998163,11,0,0.0,0
pareto_20201218,fixed_lhs,0,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.6807468296209528,5.44426438452636,0.9999999999998163,23,0,0.0,0
pareto_20201218,fixed_lhs,1,5.44426438452636,-1.9304201262287157,1.0,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,fixed_lhs,2,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.8087486235202361,5.44426438452636,0.9999999999998163,21,0,0.0,0
pareto_20201218,fixed_lhs,3,5.44426438452636,-1.9304201262287157,0.6091588655870268,0.7114666444389273,3.31642191643393,0.6091588655869149,-1,0,0.0,0
pareto_20201218,fixed_lhs,4,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.5495141283243732,2.5157953071410795,0.46210013501383007,-1,0,0.0,0
pareto_20201218,fixed_lhs,5,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.5651262707049969,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,fixed_lhs,6,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.7176765394822534,5.44426438452636,0.9999999999998163,31,0,0.0,0
pareto_20201218,fixed_lhs,7,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6230530620938164,3.31642191643393,0.6091588655869149,-1,0,0.0,0
pareto_20201218,fixed_lhs,8,5.44426438452636,-1.9304201262287157,0.46210013501391495,0.6029024600151415,2.5157953071410795,0.46210013501383007,-1,0,0.0,0
pareto_20201218,fixed_lhs,9,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6564797786007772,3.31642191643393,0.6091588655869149,-1,0,0.0,0
pareto_20201218,fixed_lhs,10,5.44426438452636,-1.9304201262287157,0.15697287069571897,0.46279302232341224,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,fixed_lhs,11,5.44426438452636,-1.9304201262287157,1.0,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,fixed_lhs,12,5.44426438452636,-1.9304201262287157,0.6091588655870268,0.7114666444389273,3.31642191643393,0.6091588655869149,-1,0,0.0,0
pareto_20201218,fixed_lhs,13,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.7099274467161765,3.31642191643393,0.6091588655869149,-1,0,0.0,0
pareto_20201218,fixed_lhs,14,5.44426438452636,-1.9304201262287157,1.0,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,fixed_lhs,15,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6393726512554991,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,fixed_lhs,16,5.44426438452636,-1.9304201262287157,0.39918433915611845,0.5825820010281133,2.5157953071410795,0.46210013501383007,-1,0,0.0,0
pareto_20201218,fixed_lhs,17,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.5852471660073517,2.5157953071410795,0.46210013501383007,-1,0,0.0,0
pareto_20201218,fixed_lhs,18,5.44426438452636,-1.9304201262287157,0.39918433915611845,0.7505063293466238,5.44426438452636,0.9999999999998163,18,0,0.0,0
pareto_20201218,fixed_lhs,19,5.44426438452636,-1.9304201262287157,0.3339823310835666,0.7268389582644836,5.44426438452636,0.9999999999998163,19,0,0.0,0
pareto_20201218,fixed_ucb_high,0,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.555821675994369,2.1685893784688846,0.39832550833351,-1,0,0.0,0
pareto_20201218,fixed_ucb_high,1,5.44426438452636,-1.9304201262287157,1.0,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,fixed_ucb_high,2,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.7085693310784551,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,fixed_ucb_high,3,5.44426438452636,-1.9304201262287157,0.6091588655870268,0.7114666444389273,3.31642191643393,0.6091588655869149,-1,0,0.0,0
pareto_20201218,fixed_ucb_high,4,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.7566301880349733,5.44426438452636,0.9999999999998163,17,0,0.0,0
pareto_20201218,fixed_ucb_high,5,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6219011115427193,5.44426438452636,0.9999999999998163,28,0,0.0,0
